经度,纬度,业务时间,卡片记录编码,线路名称,经纬度,上车站点,实际站点
114.063575,22.656254999999998,2014-06-09 18:02,325475275,68路,"114.063575,22.656255",1,37
114.03993200000001,22.640933,2014-06-09 18:26,327157860,68路,"114.039932,22.640933",2,31
114.04008400000001,22.605316000000002,2014-06-09 18:54,291765891,68路,"114.040084,22.605316",32,26
114.04699699999999,22.518949,2014-06-09 18:49,441000239,68路,"114.046997,22.518949",8,12
114.06601699999999,22.659049,2014-06-09 18:10,293804566,68路,"114.066017,22.659049",1,37
114.04201499999999,22.639717,2014-06-09 18:30,329349406,68路,"114.042015,22.639717",2,31
114.03503400000001,22.623016,2014-06-09 18:48,361371967,68路,"114.035034,22.623016",10,30
114.04703500000001,22.518933999999998,2014-06-09 18:17,360422922,68路,"114.047035,22.518934",8,12
114.04335,22.52045,2014-06-09 18:18,80360643,68路,"114.04335,22.52045",8,12
113.996032,22.528949,2014-06-09 18:15,23274666,68路,"113.996032,22.528949",18,7
113.940551,22.546966,2014-06-09 18:54,327260094,68路,"113.940551,22.546966",6,3
114.061668,22.641466,2014-06-09 18:25,321486688,68路,"114.061668,22.641466",11,34
114.06128600000001,22.646532999999998,2014-06-09 18:27,361222949,68路,"114.061286,22.646533",0,37
114.03392,22.626533,2014-06-09 18:24,292615148,68路,"114.03392,22.626533",10,30
114.04058,22.610567,2014-06-09 18:36,329554927,68路,"114.04058,22.610567",19,28
114.031852,22.636383,2014-06-09 18:49,294319942,68路,"114.031852,22.636383",2,31
114.06383500000001,22.537517,2014-06-09 18:16,328846680,68路,"114.063835,22.537517",21,15
113.937583,22.562299,2014-06-09 18:11,360211199,68路,"113.937583,22.562299",30,1
114.036849,22.524048999999998,2014-06-09 18:55,23116564,68路,"114.036849,22.524049",5,11
114.03890200000001,22.522867,2014-06-09 18:56,329456841,68路,"114.038902,22.522867",5,11
113.943931,22.539333,2014-06-09 18:49,325686021,68路,"113.943931,22.539333",29,4
114.063301,22.655866,2014-06-09 18:54,322463240,68路,"114.063301,22.655866",1,37
114.062797,22.536699,2014-06-09 18:20,20082039,68路,"114.062797,22.536699",21,15
114.060966,22.648134,2014-06-09 18:41,294300160,68路,"114.060966,22.648134",13,36
113.937767,22.562299,2014-06-09 18:43,327232890,68路,"113.937767,22.562299",30,1
114.072135,22.654716,2014-06-09 18:37,290762279,68路,"114.072135,22.654716",28,39
114.042152,22.639726,2014-06-09 18:57,660570793,68路,"114.042152,22.639726",2,31
114.06206499999999,22.640266,2014-06-09 18:17,361076304,68路,"114.062065,22.640266",11,34
113.940551,22.562299,2014-06-09 18:19,360997220,68路,"113.940551,22.562299",17,2
114.045501,22.5988,2014-06-09 18:21,330671899,68路,"114.045501,22.5988",24,25
114.040168,22.605698999999998,2014-06-09 18:24,291085354,68路,"114.040168,22.605699",32,26
114.03811599999999,22.615615,2014-06-09 18:29,361314765,68路,"114.038116,22.615615",10,30
114.035331,22.622066,2014-06-09 18:32,296325978,68路,"114.035331,22.622066",10,30
114.033653,22.627183,2014-06-09 18:35,328740177,68路,"114.033653,22.627183",10,30
114.03643000000001,22.6186,2014-06-09 18:00,292388928,68路,"114.03643,22.6186",10,30
114.06026399999999,22.520872,2014-06-09 18:51,50530796,68路,"114.060264,22.520872",25,14
114.063018,22.523567,2014-06-09 18:18,20205975,68路,"114.063018,22.523567",25,14
114.061218,22.5727,2014-06-09 18:27,80094939,68路,"114.061218,22.5727",38,22
114.04661499999999,22.519016,2014-06-09 18:01,361345446,68路,"114.046615,22.519016",8,12
113.94062,22.559217,2014-06-09 18:56,330395971,68路,"113.94062,22.559217",17,2
114.05828000000001,22.637649,2014-06-09 18:08,360238797,68路,"114.05828,22.637649",12,33
114.031944,22.638475,2014-06-09 18:22,361362802,68路,"114.031944,22.638475",2,31
114.062431,22.56355,2014-06-09 18:58,322535375,68路,"114.062431,22.56355",31,21
114.052551,22.518167000000002,2014-06-09 18:31,293939429,68路,"114.052551,22.518167",8,12
114.073982,22.5429,2014-06-09 18:54,293659835,68路,"114.073982,22.5429",9,17
114.040618,22.610549,2014-06-09 18:03,329868157,68路,"114.040618,22.610549",19,28
114.04708000000001,22.518832999999997,2014-06-09 18:39,321204182,68路,"114.04708,22.518833",8,12
114.04656899999999,22.519006,2014-06-09 18:39,328359271,68路,"114.046569,22.519006",8,12
114.043098,22.52065,2014-06-09 18:42,360773514,68路,"114.043098,22.52065",8,12
114.040435,22.6406,2014-06-09 18:58,293182871,68路,"114.040435,22.6406",2,31
114.063102,22.536882000000002,2014-06-09 18:09,325972055,68路,"114.063102,22.536882",21,15
114.04076299999998,22.640417000000003,2014-06-09 18:51,330272462,68路,"114.040763,22.640417",2,31
